study,subject_nr,amount_pair,delay_pair,amount_similarity,delay_similarity,itc_control_choice,itc_amount_social_info,itc_delay_social_info,amount_delay_social_info,itc_social_choice,miss_score,median_miss_score,suggestibility_level,sns_score,sns_level,overall_bnt_score,age,ethnicity,gender,control_social,amount_delay,similarity_judgment,task_social_info,social_info
1,105,25_30,36_42,1,0,0,0,1,D_S,0,50,50,High,3.25,Low,0.5,18,White,female,NA,NA,NA,NA,NA
1,105,5_11,10_15,0,1,1,0,0,D_D,1,50,50,High,3.25,Low,0.5,18,White,female,NA,NA,NA,NA,NA
1,105,42_49,19_24,0,1,1,0,0,D_D,1,50,50,High,3.25,Low,0.5,18,White,female,NA,NA,NA,NA,NA
1,105,10_15,24_30,1,0,0,0,1,D_S,0,50,50,High,3.25,Low,0.5,18,White,female,NA,NA,NA,NA,NA
1,105,12_18,4_8,0,1,1,0,1,D_S,1,50,50,High,3.25,Low,0.5,18,White,female,NA,NA,NA,NA,NA
1,105,13_18,29_36,1,0,1,1,1,S_S,0,50,50,High,3.25,Low,0.5,18,White,female,NA,NA,NA,NA,NA
1,105,4_8,18_24,1,1,0,0,0,D_D,0,50,50,High,3.25,Low,0.5,18,White,female,NA,NA,NA,NA,NA
1,105,35_42,16_21,0,1,1,0,1,D_S,1,50,50,High,3.25,Low,0.5,18,White,female,NA,NA,NA,NA,NA
1,105,24_31,13_18,0,1,1,1,1,S_S,1,50,50,High,3.25,Low,0.5,18,White,female,NA,NA,NA,NA,NA
1,105,35_41,16_21,1,1,1,1,1,S_S,1,50,50,High,3.25,Low,0.5,18,White,female,NA,NA,NA,NA,NA
1,105,23_29,13_18,0,1,0,0,0,D_D,1,50,50,High,3.25,Low,0.5,18,White,female,NA,NA,NA,NA,NA
1,105,30_37,25_30,1,0,1,1,0,S_D,1,50,50,High,3.25,Low,0.5,18,White,female,NA,NA,NA,NA,NA
1,105,7_12,47_53,1,1,1,1,0,S_D,1,50,50,High,3.25,Low,0.5,18,White,female,NA,NA,NA,NA,NA
1,105,36_42,16_21,0,1,0,1,0,S_D,1,50,50,High,3.25,Low,0.5,18,White,female,NA,NA,NA,NA,NA
1,105,17_23,7_12,1,1,0,0,1,D_S,1,50,50,High,3.25,Low,0.5,18,White,female,NA,NA,NA,NA,NA
1,106,4_8,18_24,0,1,0,0,0,D_D,1,41,50,Low,2.5,Low,0,21,African-American,female,NA,NA,NA,NA,NA
1,106,13_18,29_35,0,1,0,0,1,D_S,1,41,50,Low,2.5,Low,0,21,African-American,female,NA,NA,NA,NA,NA
1,106,23_30,13_18,1,0,1,1,0,S_D,1,41,50,Low,2.5,Low,0,21,African-American,female,NA,NA,NA,NA,NA
1,106,10_15,24_30,1,1,1,0,1,D_S,1,41,50,Low,2.5,Low,0,21,African-American,female,NA,NA,NA,NA,NA
1,106,25_30,35_42,1,0,0,0,0,D_D,0,41,50,Low,2.5,Low,0,21,African-American,female,NA,NA,NA,NA,NA
1,106,30_36,25_30,1,1,1,1,1,S_S,1,41,50,Low,2.5,Low,0,21,African-American,female,NA,NA,NA,NA,NA
1,106,4_8,17_24,0,0,0,1,0,S_D,0,41,50,Low,2.5,Low,0,21,African-American,female,NA,NA,NA,NA,NA
1,106,12_18,4_8,1,1,1,0,1,D_S,1,41,50,Low,2.5,Low,0,21,African-American,female,NA,NA,NA,NA,NA
